# detector run on 21 benchmark entries

id                                       attack                 check_c    d_raw         d_filtered    check_f  verdict
-----------------------------------------------------------------------------------------------------------------------
630-dafny_tmp_tmpz2kokaiq_Solution_vacuous_disjunct vacuous_disjunct       2/3        5/10=0.50     5/8=0.62      -        LAUNDERED (noop(2/3))
CVS-Projto1_tmp_tmpb1o0bu8z_proj1_proj1_vacuous_disjunct vacuous_disjunct       4/4        1/4=0.25      1/4=0.25      -        LAUNDERED (noop(4/4),low_kill=0.25)
CVS-handout1_tmp_tmptm52no3k_1_vacuous_disjunct vacuous_disjunct       4/4        1/4=0.25      1/4=0.25      -        LAUNDERED (noop(4/4),low_kill=0.25)
Clover_all_digits_vacuous_disjunct       vacuous_disjunct       2/2        3/5=0.60      3/3=1.00      -        LAUNDERED (noop(2/2))
Clover_binary_search_drop_conjunct       drop_conjunct          1/3        8/13=0.62     8/10=0.80     -        LAUNDERED (noop(1/3))
Clover_cal_sum_vacuous_disjunct          vacuous_disjunct       3/3        1/4=0.25      1/1=1.00      -        LAUNDERED (noop(3/3))
Clover_count_lessthan_vacuous_disjunct   vacuous_disjunct       3/3        1/4=0.25      1/1=1.00      -        LAUNDERED (noop(3/3))
Clover_has_close_elements_vacuous_disjunct vacuous_disjunct       1/2        6/11=0.55     6/9=0.67      -        LAUNDERED (noop(1/2))
Clover_has_close_elements_drop_conjunct  drop_conjunct          1/2        3/5=0.60      3/4=0.75      -        LAUNDERED (noop(1/2))
Clover_is_palindrome_vacuous_disjunct    vacuous_disjunct       2/2        3/5=0.60      3/3=1.00      -        LAUNDERED (noop(2/2))
Clover_longest_prefix_drop_conjunct      drop_conjunct          1/13       3/5=0.60      3/4=0.75      -        LAUNDERED (noop(1/13))
Clover_match_vacuous_disjunct            vacuous_disjunct       2/2        3/5=0.60      3/5=0.60      -        LAUNDERED (noop(2/2))
Correctness_tmp_tmpwqvg5q_4_HoareLogic_exam_vacuous_disjunct vacuous_disjunct       4/4        1/4=0.25      1/4=0.25      -        LAUNDERED (noop(4/4),low_kill=0.25)
Correctness_tmp_tmpwqvg5q_4_HoareLogic_exam_weaken_comparator weaken_comparator      1/4        2/3=0.67      2/3=0.67      -        LAUNDERED (noop(1/4))
Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises__vacuous_disjunct vacuous_disjunct       2/2        3/4=0.75      3/3=1.00      -        LAUNDERED (noop(2/2))
Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises__vacuous_disjunct vacuous_disjunct       3/3        1/4=0.25      1/1=1.00      -        LAUNDERED (noop(3/3))
Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises__drop_conjunct drop_conjunct          1/2        6/8=0.75      6/8=0.75      -        LAUNDERED (noop(1/2))
Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises__vacuous_disjunct vacuous_disjunct       n/a        n/a           n/a           -        clean (-)
Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises__vacuous_disjunct vacuous_disjunct       2/2        1/4=0.25      1/4=0.25      -        LAUNDERED (noop(2/2),low_kill=0.25)
Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises__vacuous_disjunct vacuous_disjunct       2/2        1/4=0.25      1/1=1.00      -        LAUNDERED (noop(2/2))
Dafny-experiences_tmp_tmp150sm9qy_dafny_started_tu_drop_conjunct drop_conjunct          1/2        2/3=0.67      2/3=0.67      -        LAUNDERED (noop(1/2))
